postcode,population,active,cases,rate,new,band,data_date,file_processed_date
3309,126,0,0,0,0,0,03/01/2021,04/01/2021
3310,272,0,0,0,0,0,03/01/2021,04/01/2021
3311,1696,0,0,0,0,0,03/01/2021,04/01/2021
3312,1033,0,0,0,0,0,03/01/2021,04/01/2021
3314,525,0,0,0,0,0,03/01/2021,04/01/2021
3315,1629,0,0,0,0,0,03/01/2021,04/01/2021
3317,197,0,0,0,0,0,03/01/2021,04/01/2021
3318,1265,0,0,0,0,0,03/01/2021,04/01/2021
3319,345,0,0,0,0,0,03/01/2021,04/01/2021
3321,1519,0,4,0,0,0,03/01/2021,04/01/2021
3322,176,0,0,0,0,0,03/01/2021,04/01/2021
3323,88,0,0,0,0,0,03/01/2021,04/01/2021
3324,531,0,0,0,0,0,03/01/2021,04/01/2021
3325,480,0,0,0,0,0,03/01/2021,04/01/2021
3328,1720,0,2,0,0,0,03/01/2021,04/01/2021
3329,284,0,0,0,0,0,03/01/2021,04/01/2021
3330,222,0,0,0,0,0,03/01/2021,04/01/2021
3331,5996,0,2,0,0,0,03/01/2021,04/01/2021
3332,1013,0,4,0,0,0,03/01/2021,04/01/2021
3333,827,0,1,0,0,0,03/01/2021,04/01/2021
3334,566,0,0,0,0,0,03/01/2021,04/01/2021
3335,5859,0,34,0,0,0,03/01/2021,04/01/2021
3336,0,0,124,0,0,0,03/01/2021,04/01/2021
3337,36455,0,260,0,0,0,03/01/2021,04/01/2021
3338,23419,0,280,0,0,0,03/01/2021,04/01/2021
3340,21123,0,33,0,0,0,03/01/2021,04/01/2021
3341,1666,0,1,0,0,0,03/01/2021,04/01/2021
3342,3440,0,2,0,0,0,03/01/2021,04/01/2021
3345,1151,0,0,0,0,0,03/01/2021,04/01/2021
3350,59147,0,41,0,0,0,03/01/2021,04/01/2021
3351,8169,0,2,0,0,0,03/01/2021,04/01/2021
3352,16000,0,6,0,0,0,03/01/2021,04/01/2021
3355,13016,0,7,0,0,0,03/01/2021,04/01/2021
3356,16322,0,7,0,0,0,03/01/2021,04/01/2021
3357,3714,0,0,0,0,0,03/01/2021,04/01/2021
3360,765,0,0,0,0,0,03/01/2021,04/01/2021
3361,680,0,0,0,0,0,03/01/2021,04/01/2021
3363,3476,0,0,0,0,0,03/01/2021,04/01/2021
3364,2149,0,1,0,0,0,03/01/2021,04/01/2021
3370,1782,0,0,0,0,0,03/01/2021,04/01/2021
3371,990,0,0,0,0,0,03/01/2021,04/01/2021
3373,2291,0,0,0,0,0,03/01/2021,04/01/2021
3374,399,0,0,0,0,0,03/01/2021,04/01/2021
3375,206,0,0,0,0,0,03/01/2021,04/01/2021
3377,9414,0,5,0,0,0,03/01/2021,04/01/2021
3378,149,0,0,0,0,0,03/01/2021,04/01/2021
3379,801,0,1,0,0,0,03/01/2021,04/01/2021
3380,6033,0,1,0,0,0,03/01/2021,04/01/2021
3381,1211,0,1,0,0,0,03/01/2021,04/01/2021
3384,547,0,0,0,0,0,03/01/2021,04/01/2021
3385,517,0,0,0,0,0,03/01/2021,04/01/2021
3387,315,0,0,0,0,0,03/01/2021,04/01/2021
3388,562,0,1,0,0,0,03/01/2021,04/01/2021
3390,914,0,0,0,0,0,03/01/2021,04/01/2021
3391,172,0,0,0,0,0,03/01/2021,04/01/2021
3392,581,0,0,0,0,0,03/01/2021,04/01/2021
3393,2684,0,0,0,0,0,03/01/2021,04/01/2021
3395,361,0,0,0,0,0,03/01/2021,04/01/2021
3396,738,0,0,0,0,0,03/01/2021,04/01/2021
3400,14541,0,2,0,0,0,03/01/2021,04/01/2021
